GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
event-planner-mini,edu.course.eventplanner,Main,40,0,0,0,14,0,2,0,2,0
event-planner-mini,edu.course.eventplanner.model,Venue,0,33,0,0,0,12,0,6,0,6
event-planner-mini,edu.course.eventplanner.model,Task,3,6,0,0,1,1,1,1,1,1
event-planner-mini,edu.course.eventplanner.model,Guest,0,15,0,0,0,6,0,3,0,3
event-planner-mini,edu.course.eventplanner.service,VenueSelector,4,60,3,7,1,12,3,5,0,3
event-planner-mini,edu.course.eventplanner.service,SeatingPlanner.TableNode,0,9,0,0,0,4,0,1,0,1
event-planner-mini,edu.course.eventplanner.service,SeatingPlanner,33,171,9,21,7,45,7,12,0,4
event-planner-mini,edu.course.eventplanner.service,TaskManager,9,46,3,3,4,11,4,4,1,4
event-planner-mini,edu.course.eventplanner.service,GuestListManager,30,49,8,4,11,13,8,4,2,4
event-planner-mini,edu.course.eventplanner.util,Generators,75,0,2,0,7,0,4,0,3,0
